mnemonic,unit,value,descr,API,file,MaxDepth
MRT,DegF,32.0,Max Recorded Temp,0508107409,0508107409_2764542.las,8786.7
MRT,degF,252.0,Maximum Recorded Temperature,0508107427,0508107427_2770954.las,14529.0
BHT,degF,252.0,BottomHole Temp,0508107427,0508107427_2770954.las,14529.0
BHT,DEGF,211.99986,Bottom Hole Temperature (used in calculations),0508107432,0508107432_2594603.las,5973.0
MRT,DEGF,146.5,Maximum Recorded Temperature,0508107432,0508107432_2594603.las,5973.0
BHT,DEGF,203.0,Bottom Hole Temperature (used in calculations),0508107432,0508107432_2594604.las,6122.0
MRT,DEGF,203.0,Maximum Recorded Temperature,0508107432,0508107432_2594604.las,6122.0
BHT,DEGF,211.99986,Bottom Hole Temperature (used in calculations),0508107432,0508107432_2594605.las,5974.5
MRT,,,Maximum Recorded Temperature,0508107432,0508107432_2594605.las,5974.5
BHT,DEGF,134.0,Bottom Hole Temperature (used in calculations),0508107439,0508107439_2587268.las,4184.0
MRT,DEGF,134.0,Maximum Recorded Temperature,0508107439,0508107439_2587268.las,4184.0
BHT,DEGF,211.99986,Bottom Hole Temperature (used in calculations),0508107439,0508107439_2587269.las,8682.0
MRT,,,Maximum Recorded Temperature,0508107439,0508107439_2587269.las,8682.0
BHT,DEGF,187,Bottom Hole Temperature,0508107446,0508107446_2589669.LAS,9951.0
MRT,DEGF,187,Maximum Recorded Temperature,0508107446,0508107446_2589669.LAS,9951.0
BHT,DEGF,187,Bottom Hole Temperature,0508107446,0508107446_2589671.LAS,9951.0
MRT,DEGF,187,Maximum Recorded Temperature,0508107446,0508107446_2589671.LAS,9951.0
BHT,DEGF,196.0,Bottom Hole Temperature (used in calculations),0508107447,0508107447_2590719.las,3786.0
MRT,DEGF,212.0,Maximum Recorded Temperature,0508107447,0508107447_2590719.las,3786.0
BHT,DEGF,196.0,Bottom Hole Temperature (used in calculations),0508107447,0508107447_2590720.las,5880.0
MRT,DEGF,212.0,Maximum Recorded Temperature,0508107447,0508107447_2590720.las,5880.0
BHT,DEGF,196.0,Bottom Hole Temperature (used in calculations),0508107447,0508107447_2590721.las,6878.5
MRT,DEGF,212.0,Maximum Recorded Temperature,0508107447,0508107447_2590721.las,6878.5
BHT,DEGF,148.0,Bottom Hole Temperature (used in calculations),0508107447,0508107447_2590722.las,6882.0
MRT,DEGF,148.0,Maximum Recorded Temperature,0508107447,0508107447_2590722.las,6882.0
BHT,DEGF,148.0,Bottom Hole Temperature (used in calculations),0508107447,0508107447_2590723.las,6891.0
MRT,DEGF,148.0,Maximum Recorded Temperature,0508107447,0508107447_2590723.las,6891.0
BHT,DEGF,148.0,Bottom Hole Temperature (used in calculations),0508107447,0508107447_2590724.las,6878.0
MRT,DEGF,148.0,Maximum Recorded Temperature,0508107447,0508107447_2590724.las,6878.0
BHT,DEGF,211.99986,Bottom Hole Temperature (used in calculations),0508107450,0508107450_2777971.las,7800.0
MRT,,,Maximum Recorded Temperature,0508107450,0508107450_2777971.las,7800.0
BHT,DEGF,103,Bottom Hole Temperature,0508107452,0508107452_2589570.LAS,4565.0
MRT,DEGF,103,Maximum Recorded Temperature,0508107452,0508107452_2589570.LAS,4565.0
BHT,DEGF,103,Bottom Hole Temperature,0508107452,0508107452_2589571.LAS,4565.0
MRT,DEGF,103,Maximum Recorded Temperature,0508107452,0508107452_2589571.LAS,4565.0
BHT,DEGF,103,Bottom Hole Temperature,0508107452,0508107452_2589573.LAS,4561.0
MRT,DEGF,103,Maximum Recorded Temperature,0508107452,0508107452_2589573.LAS,4561.0
BHT,DEGF,211.99986,Bottom Hole Temperature (used in calculations),0508107457,0508107457_2594602.las,5977.5
MRT,,,Maximum Recorded Temperature,0508107457,0508107457_2594602.las,5977.5
MRT,DEGF,219,MAXIMUM RECORDED TEMPERATURE,0508107463,0508107463_3007948.las,8008.2
BHT,degF,200.0,Bottom Hole Temperature,0508107587,0508107587_2592183.las,3802.0
BHT,DEGF,211.99986,Bottom Hole Temperature (used in calculations),0508107593,0508107593_2593593.las,2362.5
MRT2,,,Maximum Recorded Temperature 2,0508107593,0508107593_2593593.las,2362.5
MRT1,,,Maximum Recorded Temperature 1,0508107593,0508107593_2593593.las,2362.5
