API_Label,Latitude,Longitude,geometry
05-057-06268,40.778963,-106.130508,POINT (404605 4514835)
05-057-06269,40.779243,-106.130398,POINT (404614 4514866)
05-057-06270,40.779583,-106.130638,POINT (404595 4514904)
05-057-06271,40.779323,-106.130758,POINT (404584 4514875)
05-057-06272,40.779713,-106.130958,POINT (404568 4514919)
05-057-06273,40.720094,-106.498204,POINT (373465 4508765)
05-057-06274,40.749733,-106.092336,POINT (407785 4511549)
05-057-06275,40.750533,-106.092706,POINT (407755 4511639)
05-057-06276,40.750703,-106.091606,POINT (407848 4511656)
05-057-06277,40.751493,-106.091966,POINT (407819 4511744)
05-057-06278,40.751663,-106.090866,POINT (407912 4511762)
05-057-06279,40.767723,-106.112897,POINT (406075 4513568)
05-057-06280,40.763493,-106.106637,POINT (406597 4513092)
05-057-06281,40.75927,-106.10322,POINT (406880 4512620)
05-057-06282,40.695584,-106.538015,POINT (370055 4506102)
05-057-06283,40.671684,-106.082965,POINT (408470 4502876)
05-057-06284,40.751873,-106.094996,POINT (407564 4511790)
05-057-06285,40.751873,-106.096806,POINT (407411 4511792)
05-057-06286,40.722114,-106.133617,POINT (404261 4508528)
05-057-06287,40.714324,-106.128847,POINT (404653 4507658)
05-057-06288,40.71842,-106.1335,POINT (404265 4508118)
05-057-06289,40.725453,-106.133697,POINT (404259 4508899)
05-057-06290,40.75833,-106.18139,POINT (400280 4512601)
05-057-06291,40.470406,-106.232598,POINT (395510 4480699)
05-057-06292,40.749674,-106.074696,POINT (409275 4511525)
05-057-06293,40.749104,-106.075476,POINT (409208 4511462)
05-057-06294,40.79578,-106.25278,POINT (394314 4516842)
05-057-06295,40.79381,-106.24914,POINT (394617 4516619)
05-057-06296,40.79047,-106.24908,POINT (394617 4516248)
05-057-06297,40.776372,-106.254201,POINT (394163 4514689)
05-057-06298,40.76258,-106.21444,POINT (397497 4513111)
05-057-06299,40.769913,-106.113367,POINT (406038 4513812)
05-057-06300,40.760753,-106.101437,POINT (407032 4512782)
05-057-06301,40.707962,-106.527379,POINT (370977 4507461)
05-057-06302,40.694822,-106.492038,POINT (373938 4505951)
05-057-06303,40.718794,-106.137497,POINT (403928 4508163)
05-057-06304,40.715364,-106.134507,POINT (404176 4507779)
05-057-06305,40.7135,-106.13267,POINT (404328 4507571)
05-057-06306,40.7205,-106.13461,POINT (404175 4508350)
05-057-06307,40.71733,-106.13244,POINT (404353 4507995)
05-057-06308,40.700681,-106.56609,POINT (367693 4506710)
05-057-06309,40.765953,-106.113527,POINT (406019 4513373)
05-057-06310,40.766543,-106.114277,POINT (405957 4513439)
05-057-06311,40.764773,-106.113187,POINT (406046 4513241)
05-057-06312,40.768423,-106.117457,POINT (405691 4513651)
